defect_id,card_id,audit_item,defect_type,severity,location_file,location_data,affected_rows,affected_tickers,affected_dates_range,reconciliation_status,reconciliation_rate,evidence_summary,repair_path,repair_feasibility,repair_effort_estimate,downstream_block_cards,notes,discovered_at
ID_000004,KR-ID-LIFECYCLE-MASTER-AUDIT-001,name_change_trace,name_change_unmapped,low,panel,152 tickers with multiple names,0,152,2018-2026,verified_against_internal,1.0,"152 tickers had name changes during panel period. Examples: 대림산업->DL, 한국테크놀로지그룹->한국앤컴퍼니, 기아차->기아. DART corp_code 매핑은 ticker level 에서 가능 (corp_code 변경 X 시).",requires_code_fix,high,name_change history table + entity_id linkage = 1 week,,"rename != delisting, panel uniqueness 유지됨",2026-05-22T03:40:24.433262+00:00
ID_000005,KR-ID-LIFECYCLE-MASTER-AUDIT-001,corp_code_mapping,permanent_id_source_missing,high,panel + DART,mapping coverage,0,50,2018-2026,verified_against_internal,0.94,783 of 833 panel tickers (94%) found in DART corp_code. 50 tickers NOT in DART (외국 ETF / 지주회사 / 합병으로 사라진 entity 가능성).,requires_external_source,medium,KRX permanent_id 또는 ISIN mapping = 1 week,all cards needing permanent identifier,corp_code = good permanent ID candidate; 6% missing requires fallback,2026-05-22T03:40:24.433262+00:00
ID_000006,KR-ID-LIFECYCLE-MASTER-AUDIT-001,corp_code_to_ticker_linkage,none,informational,DART parquet,corp_code <-> stock_code,0,0,2018-2026,verified_against_internal,1.0,"DART 안에서 corp_code <-> stock_code 모두 1:1 매핑 (multi-ticker corp 0, multi-corp ticker 0). Within DART, no code reuse detected.",not_repairable,unknown,,,positive finding within DART scope; KRX 전체 listing 와 mapping 별도 audit 필요,2026-05-22T03:40:24.433262+00:00
ID_000007,KR-ID-LIFECYCLE-MASTER-AUDIT-001,dynamic_top100_lifecycle_coverage,none,informational,panel,dynamic_top100 members,0,833,2018-2026,verified_against_internal,,833 unique tickers all entered top100 at some point. Panel contains all ever-top100 names. Out-of-top100 rows present (>563 per date avg). Suggests panel preserves disappeared/non-current names = survivorship safer than current-listing-only universe.,not_repairable,unknown,,,positive Round 2 Gate 2 follow-up evidence,2026-05-22T03:40:24.433262+00:00
TRAD_000001,KR-TRADABILITY-SEMANTICS-AUDIT-001,tradability_logic_inspection,tradability_flag_is_panel_presence_proxy,critical,src/utils/tradability.py,tradable_mask() AND chain,969208,815,2018-2024,verified_against_internal,1.0,tradable=True 17.75%; 82.24% is simply not_in_dynamic_universe. tradable_mask is effectively in_universe + OHLC sanity + limit detection. Not exchange status.,requires_both,medium,S3 source + 4-cause attribution function = 2-3 weeks,"KR-LIQ-FRAGILITY-AVOID-001,KR-TRADABILITY-RESUME-RISK-001",Round 2 finding 재확인,2026-05-22T03:42:49.662666+00:00
TRAD_000002,KR-TRADABILITY-SEMANTICS-AUDIT-001,four_cause_distinction,true_suspension_indistinguishable,critical,src/utils/tradability.py,STATUS_COLS not in panel,0,0,2018-2024,not_applicable,,STATUS column 이 panel 에 없음. true_suspension classification = 0 건 (priority 분류). 4-cause distinction 핵심 source 부재.,requires_external_source,medium,S3 KRX status source = 1-2 weeks,KR-TRADABILITY-RESUME-RISK-001,,2026-05-22T03:42:49.662666+00:00
TRAD_000003,KR-TRADABILITY-SEMANTICS-AUDIT-001,limit_lock_pollution,limit_lock_polluted_by_corporate_action,high,src/utils/tradability.py:0.299,147 events × limit detection,146,147,2018-2024,verified_against_internal,0.993,146 of 147 extreme return events (99.3%) flagged as open_limit_move; true KRX limit vs corporate action artifact 구분 불가 (Gate 5 dependency).,requires_both,high,Gate 5 fix 후 corporate action day 제외 logic = 1 week,KR-LIQ-FRAGILITY-AVOID-001,cross-card with G5_000004,2026-05-22T03:42:49.662666+00:00
TRAD_000004,KR-TRADABILITY-SEMANTICS-AUDIT-001,missingness_zero_volume_split,zero_volume_vs_missing_row_conflation,medium,panel,거래량 / 거래대금추정,7450,0,2018-2024,verified_against_internal,,"volume=0 or NaN = 7,450 rows (0.77%); trade_value=0 or NaN = 7,450 (identical count). 두 변수 same source. close=0 or NaN = 0 (price always present). Zero-volume vs row-absent 명시적 구분 가능 (가격 + 0 volume = 거래정지 candidate, row absent = panel out).",requires_code_fix,high,4-cause categorical column 추가 = 1 week,,positive finding - 0% close missing means strong data integrity,2026-05-22T03:42:49.662666+00:00
TRAD_000005,KR-TRADABILITY-SEMANTICS-AUDIT-001,terminal_stock_treatment,delisting_transition_indistinguishable,high,panel,258 disappeared tickers terminal rows,258,258,2018-2024,verified_against_internal,,258 disappeared tickers; ALL last rows tradable=False (자동 차단됨). 25 of 258 had volume=0 on last row (potential true suspension). 233 had normal volume but disappeared (delisting? merger? panel filter?). 외부 source 필요.,requires_external_source,medium,cross-reference with KR-ID-LIFECYCLE results + KRX delisting archive,KR-TRADABILITY-RESUME-RISK-001,ID_000002 와 cross-reference,2026-05-22T03:42:49.662666+00:00
TRAD_000006,KR-TRADABILITY-SEMANTICS-AUDIT-001,limit_threshold_alignment,none,informational,src/utils/tradability.py:0.299,limit_threshold,0,0,,verified_against_internal,1.0,limit_threshold=0.299 (29.9%) aligns with KRX 30% daily price limit rule (~2015 onwards). Pre-2015 KRX limit was 15% (not relevant for panel 2018+).,not_repairable,unknown,,,positive finding,2026-05-22T03:42:49.662666+00:00
TOP_000001,KR-TOP100-PIT-LINEAGE-AUDIT-001,generation_script_existence,generation_script_missing,medium,repo,src/ scripts/ etc.,0,0,,not_applicable,,Panel 의 dynamic_top100 은 외부 source (Kiwoom / KRX) 에서 이미 universe flag 가 적용된 상태로 제공. Repo 안에 generation script 없음.,requires_code_fix,high,rule documented = repo 내 reproduction script 작성 1-2 days,,rule was reverse-engineered (TOP_000002),2026-05-22T03:46:33.918603+00:00
TOP_000002,KR-TOP100-PIT-LINEAGE-AUDIT-001,selection_rule_reverse_engineering,none,informational,panel,거래대금추정 ranking,0,0,all,verified_against_internal,1.0,Dynamic Top100 selection rule = 거래대금추정 (trading value) 상위 100 (100/100 match across 25+ sample dates from 2018-2024). Market cap match = 59/100 average.,not_repairable,unknown,,,Major positive finding: selection rule reproducible from panel data alone,2026-05-22T03:46:33.918603+00:00
TOP_000003,KR-TOP100-PIT-LINEAGE-AUDIT-001,membership_reproducibility,none,informational,panel,membership over time,0,0,all,verified_against_internal,1.0,Per-date top100 100% reproducible from 거래대금추정 ranking. Avg transition count per day = 1-2 new entries (small natural churn).,not_repairable,unknown,,,positive,2026-05-22T03:46:33.918603+00:00
TOP_000004,KR-TOP100-PIT-LINEAGE-AUDIT-001,all_listed_candidate_universe,documentation_gap,low,panel,~563 tickers per date,969208,815,2018-2024,unverified,,Panel includes ~563 tickers per date (100 top100 + 463 candidates). Full KRX listed universe per date 별도 source 필요 (전 listed companies vs panel coverage).,requires_external_source,high,KRX listed companies file = 1 week,,,2026-05-22T03:46:33.918603+00:00
TOP_000005,KR-TOP100-PIT-LINEAGE-AUDIT-001,survivor_universe_check,none,informational,panel,lifecycle coverage,0,833,2018-2026,verified_against_internal,,833 unique tickers all had top100 entry at some point. 299 disappeared during panel = preserved in panel (not removed). Strong survivorship safety evidence.,not_repairable,unknown,,,ID_000007 cross-reference positive,2026-05-22T03:46:33.918603+00:00
TOP_000006,KR-TOP100-PIT-LINEAGE-AUDIT-001,gate5_dependency,documentation_gap,high,panel,거래대금추정 trustworthiness,0,0,2018-2024,verified_against_internal,,"Top100 membership uses 거래대금추정 (trading value, PIT, 0% estimated). 거래대금추정 = 거래량 × close. Close 가 raw (adjusted X) = split day 에서 trading value 도 왜곡 가능. Top100 membership 이 corp action day 에 false 변동 가능.",requires_both,medium,Gate 5 fix 후 trading_value 재계산 = 1 week,KR-LIQ-MIGRATION-001 (Round 2 BACKLOG),Gate 5 dependency 명시,2026-05-22T03:46:33.918603+00:00
FLOW_000001,KR-FLOW-UNIT-TIMESTAMP-AUDIT-001,field_definitions,documentation_gap,low,panel,flow columns,969208,815,2018-2024,verified_against_internal,,"Panel 의 flow fields: 외국인순매매량 (volume), 기관순매매량, 외국인순매수금액추정, 기관순매수금액추정. NaN = 0 in all rows (good integrity).",requires_external_source,high,vendor doc request = 1 day,,Source: Kiwoom REST API per DATA_SOURCES.md,2026-05-22T03:49:52.005791+00:00
FLOW_000002,KR-FLOW-UNIT-TIMESTAMP-AUDIT-001,sign_convention,none,informational,panel,sample sign distribution,0,10,2024-01,verified_against_internal,,"10 sample tickers x 14 days 의 외국인순매수금액 sign distribution mixed (+/-). Convention ""+"" = net buy / ""-"" = net sell 보임. 단 vendor doc 부재로 100% 확정 어려움.",requires_external_source,high,KRX 공식 데이터와 1-2 day reconciliation,,sample see sign_convention_sample.csv,2026-05-22T03:49:52.005791+00:00
FLOW_000003,KR-FLOW-UNIT-TIMESTAMP-AUDIT-001,unit_consistency,none,informational,panel,flow value / trading_value ratio,1000,0,random sample,verified_against_internal,,"Random 1000 row sample: |foreign + institution flow| / trading_value: median 0.14, 95% 0.48, max 0.93. 0 rows > 1.0. Unit consistency 확인 (둘 다 KRW 같음).",not_repairable,unknown,,,positive finding,2026-05-22T03:49:52.005791+00:00
FLOW_000004,KR-FLOW-UNIT-TIMESTAMP-AUDIT-001,publication_lag,publication_lag_unknown,high,panel,timestamp,0,0,all,not_applicable,,"Panel 자체에 publication timestamp 없음. DATA_CATALOG.md = ""KRX 장마감 후"" 라고 표기. T 일 flow 가 정확히 언제 사용 가능한지 (장마감 직후? T+1 시작?) 미확정.",requires_external_source,high,Kiwoom doc 확인 = 1 day,KR-FLOW-ABSORPTION-001 + 향후 flow strategy,t+1 signal safety 확인 필요,2026-05-22T03:49:52.005791+00:00
FLOW_000005,KR-FLOW-UNIT-TIMESTAMP-AUDIT-001,missingness_by_year,none,informational,panel,flow per year,0,0,2018-2024,verified_against_internal,,"NaN flow = 0 across all years. Zero flow = 0.6-4.7% range (2018 institution = 4.7%, others 0.6-2.5%). 2018 outlier may suggest vendor coverage start.",requires_external_source,high,vendor coverage doc,,see missingness_breakdown.csv,2026-05-22T03:49:52.005791+00:00
FLOW_000006,KR-FLOW-UNIT-TIMESTAMP-AUDIT-001,nonzero_flow_on_nontradable,nonzero_flow_on_nontradable_day,medium,panel,tradable=False rows,786608,0,2018-2024,verified_against_internal,,"786,608 of 797,206 non-tradable rows (98.7%) have nonzero foreign flow; 775,466 (97.3%) nonzero institution flow. 단 non-tradable 의 dominant cause = panel_absence (universe 밖) 이므로 정상 (그 종목이 universe 밖이어도 거래 자체는 있음). Strategy 진입 X 라 caveat 만 기록.",not_repairable,unknown,,,true suspension 분리 가능 후 재audit,2026-05-22T03:49:52.005791+00:00
FLOW_000007,KR-FLOW-UNIT-TIMESTAMP-AUDIT-001,estimation_flag,documentation_gap,high,panel,수급금액추정여부 column,969208,815,2018-2024,verified_against_internal,1.0,"수급금액추정여부 = True for ALL 969,208 rows (100%). 즉 모든 flow value 가 추정. 시가총액추정여부 / 거래대금추정여부 와 달리 ALL True. 의미 = 정확한 KRX 공식 flow 가 아니라 vendor (Kiwoom) 의 estimated value. PIT 우려.",requires_external_source,medium,"""추정"" 의 정확한 의미 vendor 확인 + 필요 시 official KRX 투자자별 거래실적 acquire = 1-2 weeks",KR-FLOW-ABSORPTION-001 + 향후 flow strategy,CRITICAL — Round 2 finding 잘못 reported (시가총액 0% 와 confused). 실제는 flow 100% estimated.,2026-05-22T03:49:52.005791+00:00
FLOW_000008,KR-FLOW-UNIT-TIMESTAMP-AUDIT-001,f_family_warning,documentation_gap,medium,project,F-family closure register,0,0,,not_applicable,,F-family (stock ranking flow / RS) 이미 closed. 향후 flow strategy 재개 시 = closed family 재포장 위험 글로벌 REJECT trigger 와 매칭. 구조적 차별성 사전 등록 필수.,not_repairable,unknown,,,KR-FLOW-ABSORPTION-001 (Round 2 BACKLOG) 도 같은 warning,2026-05-22T03:49:52.005791+00:00
