defect_id,severity,file_path,line_number,column_name,patch_status_pre_runtime,runtime_status_at_runtime_phase,residual_patch_status,residual_patch_evidence,reopen_blocker_preserved
QENF_00054,medium,src/strategies/p002_d013_execution.py,43,저가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p002_d013_execution.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00055,medium,src/strategies/p002_d013_execution.py,50,시가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p002_d013_execution.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00056,medium,src/strategies/p002_d013_execution.py,51,시가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p002_d013_execution.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00057,medium,src/strategies/p002_d013_execution.py,58,시가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p002_d013_execution.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00058,medium,src/strategies/p002_d013_execution.py,59,시가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p002_d013_execution.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00059,medium,src/strategies/p002_d013_execution.py,98,KRX종가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p002_d013_execution.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00060,medium,src/strategies/p002_d013_execution.py,254,KRX종가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/p002_d013_execution.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00061,medium,src/strategies/c003_monthly_macro_gate.py,166,KRX종가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/c003_monthly_macro_gate.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00062,medium,src/strategies/c003_monthly_macro_gate.py,166,시가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/c003_monthly_macro_gate.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00063,high,src/strategies/c003_monthly_macro_gate.py,175,시가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/c003_monthly_macro_gate.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00064,high,src/strategies/c003_monthly_macro_gate.py,176,KRX종가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/c003_monthly_macro_gate.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00065,high,src/strategies/baselines.py,302,KRX종가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/baselines.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00066,high,src/strategies/baselines.py,302,시가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/baselines.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00067,high,src/strategies/baselines.py,310,시가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/baselines.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00068,high,src/strategies/baselines.py,313,KRX종가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/baselines.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00069,medium,src/strategies/d004_position_sizing.py,199,KRX종가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/d004_position_sizing.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00070,medium,src/strategies/d004_position_sizing.py,199,시가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/d004_position_sizing.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00071,high,src/strategies/d004_position_sizing.py,208,시가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/d004_position_sizing.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00072,high,src/strategies/d004_position_sizing.py,209,KRX종가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/d004_position_sizing.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00073,medium,src/strategies/b004_regime_gate.py,14,KRX종가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/b004_regime_gate.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00074,medium,src/strategies/b004_regime_gate.py,14,상장주식수,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/b004_regime_gate.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00075,medium,src/strategies/b004_regime_gate.py,14,시가총액추정,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/b004_regime_gate.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00076,high,src/strategies/b004_regime_gate.py,129,KRX종가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/b004_regime_gate.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00077,medium,src/strategies/b004_regime_gate.py,134,상장주식수,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/b004_regime_gate.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00078,medium,src/strategies/b004_regime_gate.py,135,상장주식수,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/b004_regime_gate.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00079,medium,src/strategies/b004_regime_gate.py,136,KRX종가,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/b004_regime_gate.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00080,medium,src/strategies/b004_regime_gate.py,140,시가총액추정,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/b004_regime_gate.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00081,high,src/strategies/b004_regime_gate.py,141,시가총액추정,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/b004_regime_gate.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00082,high,src/strategies/b004_regime_gate.py,143,상장주식수,still_reopen_blocker,runtime_dormant_strategy_path,patched,assert_panel_has_valid_mask() added at entry function of src/strategies/b004_regime_gate.py; smoke-tested to raise OhlcvQuarantineError without valid_ohlcv_mask,true
QENF_00121,high,src/ops/nav_update.py,84,daily_return,still_reopen_blocker,runtime_dormant_ops_path,still_reopen_blocker,src/ops/nav_update.py is ops/paper/live code under hard production lock; no patch authorised in this audit/patch phase; upstream backtest engine gate already blocks unmask panels,true
QENF_00122,high,src/ops/nav_update.py,85,daily_return,still_reopen_blocker,runtime_dormant_ops_path,still_reopen_blocker,src/ops/nav_update.py is ops/paper/live code under hard production lock; no patch authorised in this audit/patch phase; upstream backtest engine gate already blocks unmask panels,true
QENF_00123,high,src/ops/nav_update.py,90,daily_return,still_reopen_blocker,runtime_dormant_ops_path,still_reopen_blocker,src/ops/nav_update.py is ops/paper/live code under hard production lock; no patch authorised in this audit/patch phase; upstream backtest engine gate already blocks unmask panels,true
QENF_00124,high,src/ops/nav_update.py,91,daily_return,still_reopen_blocker,runtime_dormant_ops_path,still_reopen_blocker,src/ops/nav_update.py is ops/paper/live code under hard production lock; no patch authorised in this audit/patch phase; upstream backtest engine gate already blocks unmask panels,true
