defect_id,severity,defect_class,dataset_id,column_name,detail,quarantine_action,remediation
FMC_000014,medium,unit_ambiguous,market_flow_kiwoom_2018_2026_integrated,large_foreign_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000015,medium,unit_ambiguous,market_flow_kiwoom_2018_2026_integrated,large_institution_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000016,medium,unit_ambiguous,market_flow_kiwoom_2018_2026_integrated,program_basis,unit='index_pt_or_pct',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000017,medium,unit_ambiguous,market_flow_kiwoom_2025_2026_krx,program_basis,unit='index_pt_or_pct',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000018,medium,unit_ambiguous,market_flow_kiwoom_2025_2026_krx,kospi_foreign_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000019,medium,unit_ambiguous,market_flow_kiwoom_2025_2026_krx,kospi_institution_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000020,medium,unit_ambiguous,market_flow_kiwoom_2025_2026_krx,kospi_individual_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000021,medium,unit_ambiguous,market_flow_kiwoom_2025_2026_krx,kospi_trade_volume,unit='shares_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000022,medium,unit_ambiguous,market_flow_kiwoom_2025_2026_krx,large_foreign_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000023,medium,unit_ambiguous,market_flow_kiwoom_2025_2026_krx,large_institution_net,unit='KRW_mil_or_count',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000024,medium,unit_ambiguous,opendart_kospi_disclosures_20180101_20260505,stock_code,unit='krx_ticker_6digit_or_null',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000025,medium,synthesised_value,w001_v2_panel_with_adjusted_ohlc_2018_2026,KRX종가,source='krx_official_or_synth' — synthesis rule must be documented at use site,ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000026,medium,synthesised_value,w001_v2_panel_with_tradable_state,KRX종가,source='krx_official_or_synth' — synthesis rule must be documented at use site,ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000027,medium,unit_ambiguous,w001_v2_permanent_id_master,corp_code_dart,unit='8digit_string_or_null',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000028,medium,unit_ambiguous,w001_v2_permanent_id_master,corp_name_dart,unit='string_or_null',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000029,medium,unit_ambiguous,s3_krx_status_events_2018_2026,stock_code,unit='krx_ticker_or_null_float',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000030,medium,unit_ambiguous,s3_dart_pblntfty_I_all_2018_2026,stock_code,unit='krx_ticker_or_null_float',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
FMC_000031,medium,unit_ambiguous,sector_membership_kis_snapshot_20260518,lstg_abol_dt,unit='YYYYMMDD_string_or_null',ALLOW_WITH_GUARD — usage requires unit/synthesis annotation at call site,"Update column spec in src/audit/measurement_a0/p0_1_field_metadata_contract.py with disambiguated value, re-run, and re-commit all 6 artifacts"
